link_name,link_url,episode_name,episode_link,,,,,,,,
SNL,http://www.nbc.com/saturday-night-live,פרק #91 – לאה לב סטנדאפיסטית ישראלית,https://geekonomy.net/2016/12/27/geekonomy91/,,,,,,,,
טשרניחובסקי 6,http://www.tchernihovsky6.co.il/,פרק #91 – לאה לב סטנדאפיסטית ישראלית,https://geekonomy.net/2016/12/27/geekonomy91/,,,,,,,,
דאבל סטדנרנט,https://www.facebook.com/dsbarshop/,פרק #91 – לאה לב סטנדאפיסטית ישראלית,https://geekonomy.net/2016/12/27/geekonomy91/,,,,,,,,
מיסטר פיקלס,http://www.imdb.com/title/tt2950342/,פרק #91 – לאה לב סטנדאפיסטית ישראלית,https://geekonomy.net/2016/12/27/geekonomy91/,,,,,,,,
NAO,https://en.wikipedia.org/wiki/Nao_(singer),פרק #91 – לאה לב סטנדאפיסטית ישראלית,https://geekonomy.net/2016/12/27/geekonomy91/,,,,,,,,
אנדרסון פק,https://en.wikipedia.org/wiki/Anderson_Paak,פרק #91 – לאה לב סטנדאפיסטית ישראלית,https://geekonomy.net/2016/12/27/geekonomy91/,,,,,,,,
סינמסקופ – בלוג הסרטים של יאיר רוה ,http://cinemascope.co.il/,פרק #92 – סיכום שנת 2016 בקולנוע עם יאיר רוה ותומר קמרלינג,https://geekonomy.net/2016/12/29/geekonomy92/,,,,,,,,
יושב בחושך – ביקורות הסרטים של תומר קמרלינג,http://www.mako.co.il/culture-weekend/tomer-movies-reviews,פרק #92 – סיכום שנת 2016 בקולנוע עם יאיר רוה ותומר קמרלינג,https://geekonomy.net/2016/12/29/geekonomy92/,,,,,,,,
100 הסרטים הטובים של שנת 2016 באתר Rotten Tomatoes,https://www.rottentomatoes.com/top/bestofrt/?year=2016,פרק #92 – סיכום שנת 2016 בקולנוע עם יאיר רוה ותומר קמרלינג,https://geekonomy.net/2016/12/29/geekonomy92/,,,,,,,,
GameIS – העמותה לקידום תעשיית המשחקים הדיגיטליים בישראל,https://www.facebook.com/groups/GameISGroup/,פרק #93 – סיכום שנת 2016 בתעשיית המשחקים,https://geekonomy.net/2016/12/30/geekonomy93/,,,,,,,,
גלובל גיים ג׳ם ישראל 2017,,,,,,,,,,,
,http://bit.ly/GameISGGJ2017FB,פרק #93 – סיכום שנת 2016 בתעשיית המשחקים,https://geekonomy.net/2016/12/30/geekonomy93/,,,,,,,,
Monstre de Coiffure,https://play.google.com/store/apps/details?id=com.lonebot.monstre,פרק #93 – סיכום שנת 2016 בתעשיית המשחקים,https://geekonomy.net/2016/12/30/geekonomy93/,,,,,,,,
Buck,http://www.buck-game.com/,פרק #93 – סיכום שנת 2016 בתעשיית המשחקים,https://geekonomy.net/2016/12/30/geekonomy93/,,,,,,,,
Warriors – Rise to Glory,http://www.warriorsrtg.com/,פרק #93 – סיכום שנת 2016 בתעשיית המשחקים,https://geekonomy.net/2016/12/30/geekonomy93/,,,,,,,,
It's always Monday,http://store.steampowered.com/app/558660/,פרק #93 – סיכום שנת 2016 בתעשיית המשחקים,https://geekonomy.net/2016/12/30/geekonomy93/,,,,,,,,
Fort Triumph,https://steamcommunity.com/sharedfiles/filedetails/?id=731893430,פרק #93 – סיכום שנת 2016 בתעשיית המשחקים,https://geekonomy.net/2016/12/30/geekonomy93/,,,,,,,,
Pizza Donattelo – פיצה דונטלו אבן גבירול,,,,,,,,,,,
,http://www.donattelo.co.il/,פרק #93 – סיכום שנת 2016 בתעשיית המשחקים,https://geekonomy.net/2016/12/30/geekonomy93/,,,,,,,,
אתר המשחקים של חברת פלאריום,,,,,,,,,,,
,https://plarium.com/en/strategy-games/,פרק #93 – סיכום שנת 2016 בתעשיית המשחקים,https://geekonomy.net/2016/12/30/geekonomy93/,,,,,,,,
הקרנה לגולשים של הסרט Assasin's Creed עם אתר IGN ישראל,https://m.facebook.com/story.php?story_fbid=710329535794826&amp,substory_index=0&amp,id=361372130690570&amp,__mref=message_bubble,פרק #93 – סיכום שנת 2016 בתעשיית המשחקים,https://geekonomy.net/2016/12/30/geekonomy93/,,,,,
Innerspace – יום במלכודת,http://www.imdb.com/title/tt0093260/,פרק #94 – נעה לכמן בונה את המגן של קפטן אמריקה,https://geekonomy.net/2017/01/03/geekonomy94/,,,,,,,,
אנטי מימן,https://he.wikipedia.org/wiki/%D7%90%D7%A0%D7%98%D7%99-%D7%9E%D7%99%D7%9E%D7%9F,פרק #94 – נעה לכמן בונה את המגן של קפטן אמריקה,https://geekonomy.net/2017/01/03/geekonomy94/,,,,,,,,
המחלקה של נועה באונ' תל-אביב,https://go.tau.ac.il/Engineering_Materials_Chemistry,פרק #94 – נעה לכמן בונה את המגן של קפטן אמריקה,https://geekonomy.net/2017/01/03/geekonomy94/,,,,,,,,
מדע גדול בקטנה,https://www.facebook.com/MadaGB/?fref=ts,פרק #94 – נעה לכמן בונה את המגן של קפטן אמריקה,https://geekonomy.net/2017/01/03/geekonomy94/,,,,,,,,
Goldy Blox,http://www.goldieblox.com/,פרק #94 – נעה לכמן בונה את המגן של קפטן אמריקה,https://geekonomy.net/2017/01/03/geekonomy94/,,,,,,,,
הפוסט עם האלומיניום במדע גדול בקטנה,https://www.facebook.com/MadaGB/posts/717463518412450:0,פרק #94 – נעה לכמן בונה את המגן של קפטן אמריקה,https://geekonomy.net/2017/01/03/geekonomy94/,,,,,,,,
כנופיות ניו-יורק,http://www.imdb.com/title/tt0217505/,פרק #94 – נעה לכמן בונה את המגן של קפטן אמריקה,https://geekonomy.net/2017/01/03/geekonomy94/,,,,,,,,
פאודה,https://www.youtube.com/watch?v=8k1QnX7LGw0,פרק #94 – נעה לכמן בונה את המגן של קפטן אמריקה,https://geekonomy.net/2017/01/03/geekonomy94/,,,,,,,,
הקאנון המדעי,http://www.text.org.il/index.php?book=0905021,פרק #94 – נעה לכמן בונה את המגן של קפטן אמריקה,https://geekonomy.net/2017/01/03/geekonomy94/,,,,,,,,
סמדר שיר – בחינת בגרות,https://he.wikipedia.org/wiki/%D7%91%D7%97%D7%99%D7%A0%D7%AA_%D7%91%D7%92%D7%A8%D7%95%D7%AA_(%D7%A1%D7%A8%D7%98),פרק #95 – אורי פינק נותן זבנג,https://geekonomy.net/2017/01/10/geekonomy95/,,,,,,,,
חסמבה,https://he.wikipedia.org/wiki/%D7%97%D7%A1%D7%9E%D7%91%D7%94,פרק #95 – אורי פינק נותן זבנג,https://geekonomy.net/2017/01/10/geekonomy95/,,,,,,,,
זבנג בפייסבוק,https://www.facebook.com/interzbeng/?fref=ts,פרק #95 – אורי פינק נותן זבנג,https://geekonomy.net/2017/01/10/geekonomy95/,,,,,,,,
קומיקס וירקות,https://cnv.co.il/,פרק #95 – אורי פינק נותן זבנג,https://geekonomy.net/2017/01/10/geekonomy95/,,,,,,,,
Undertale,http://undertale.com/,פרק #95 – אורי פינק נותן זבנג,https://geekonomy.net/2017/01/10/geekonomy95/,,,,,,,,
The Watchmen,https://en.wikipedia.org/wiki/Watchmen,פרק #95 – אורי פינק נותן זבנג,https://geekonomy.net/2017/01/10/geekonomy95/,,,,,,,,
Doonesbury,http://doonesbury.washingtonpost.com/,פרק #95 – אורי פינק נותן זבנג,https://geekonomy.net/2017/01/10/geekonomy95/,,,,,,,,
קלווין והובס,https://he.wikipedia.org/wiki/%D7%A7%D7%9C%D7%95%D7%95%D7%99%D7%9F_%D7%95%D7%94%D7%95%D7%91%D7%A1,פרק #95 – אורי פינק נותן זבנג,https://geekonomy.net/2017/01/10/geekonomy95/,,,,,,,,
מוביוס – ז'אן ז'ירו,https://www.moebius.fr/,פרק #95 – אורי פינק נותן זבנג,https://geekonomy.net/2017/01/10/geekonomy95/,,,,,,,,
גרוויטי פולס,http://www.imdb.com/title/tt1865718/,פרק #95 – אורי פינק נותן זבנג,https://geekonomy.net/2017/01/10/geekonomy95/,,,,,,,,
ולריאן,https://www.youtube.com/watch?v=rPWGeZIur28,פרק #95 – אורי פינק נותן זבנג,https://geekonomy.net/2017/01/10/geekonomy95/,,,,,,,,
סטיבן יוניברס,http://www.imdb.com/title/tt3061046/,פרק #95 – אורי פינק נותן זבנג,https://geekonomy.net/2017/01/10/geekonomy95/,,,,,,,,
וויפלאש,http://www.imdb.com/title/tt2582802/,פרק #95 – אורי פינק נותן זבנג,https://geekonomy.net/2017/01/10/geekonomy95/,,,,,,,,
Hip Hop Evolutation,http://www.imdb.com/title/tt4130418/,פרק #95 – אורי פינק נותן זבנג,https://geekonomy.net/2017/01/10/geekonomy95/,,,,,,,,
